song_id,fullname,genre,artist,composed_by,singer,feat_by,arranged_by,visualized_by
1,OBLIVION ,Dramatic Trance,ESTi,ESTi,,,,D-myo
2,Raise me up,Rock & Pop,Planetboom,Planetboom,Miya,,,"PUNEW, Super52"
3,Lover,Barbie House,NDLee,NDLee,Young,,,"MandRill, HooN"
4,In the Tdot,Electro HipHop,Mr.Thoro,C. Morgan,,,,"DumpingLIFE, ENTIA J, Eco"
5,Ray of Illuminati,Euro Dance,ESTi,ESTi,,,,"KIM YS, D"
6,Eternal Fantasy (Miya Vocal Mix),Fantasy Pop,XeoN,XeoN,Miya,Planetboom(on Guitar),,"NG, HooN"
7,모짜르트 교향곡 40번 1악장,Classic Remix,Kim Chang Hoon,Mozart,,,Kim Chang Hoon,"SAGWANAMU, ENTIA J"
8,A Song of Sixpence,Toy box,makou,makou,Itsuki and Her Friends,,,"GiggSan, SAREE"
9,Become Myself,Hard Core,PIA,"Kibum, Yohan",Yohan,,,moses
10,바람에게 부탁해,Fantasy pop,Forte Escape,Forte Escape,Miya,,,TAKO ASHIN
11,SigNalize,Electro Trance,Paul Bazooka,Paul Bazooka,,,,Z_B
12,유령,Fusion HipHop,STi,STi,수정,"STi (on Rap), 안지연 (on Chorus) ",,"Tari, NOVA"
13,설레임 Part.2,Cute Pop,NDLee,NDLee,Miya,,,"Lee Woo Chul, shin 105"
14,Fury,Punk Rock,Sugardonut,Sugardonut,Sugardonut,,,"Y.J, ZOZO, ssamanko"
15,Kung-Fu Rider,Oriental Funk,AstroKid,AstroKid,,,,Eco
16,"고백, 꽃, 늑대",Piano Ballad,ReX,ReX,,,,D
17,Sweet Shining Shooting Star,Acin House,CROOVE,CROOVE,So Fly,JC(on Rap),,"H2SO4, Jin"
18,Ladymade Star,Space Idol Pop,ESTi,ESTi,Sanch,,,TIV
19,Shining My Boy,Ani Pop,AstroKid,AstroKid,Lee Jung Eun,,,"Young-in, HooN"
20,영원,Mordern Rock,BEXTER,BEXTER,Miya,Planetboom(on Guitar),,"GODO, CARROTJUICE"
21,OUT LAW - Reborn,Nu Skool Breakz,Mr.Funky,CROOVE,,JC(on Rap),Mr.Funky,D
22,Gone Astray,Progressive House,makou,makou,Etsuko Yusa,NieN (on Guitar),,"Eco, Xloth"
23,Mr.Lonely,Hybrid Rock,NieN,NieN,Zim,,,AJ
24,EGG,Light Pop,Nauts,Nauts,ZeeN,BOSCO (on Guitar),,"Armcho, HooN"
25,MonoXide,Planet Core,Planetboom,Planetboom,,,,"PANCHOK, 79C"
26,Blythe,Synth DnB,M2U,M2U,Tari,,,D
27,OrBiTal,Dublectrance,Paul Bazooka,Paul Bazooka,,5han (on Voice),,Eco
28,"My Heart, My Soul",R&B Slow,3rd Coast,3rd Coast,So Fly,JC(on Rap),,"SAGWANAMU, jo jeong joo"
29,Now a New Day,Electric Pop,Sui.Jay,Sui.Jay,Sui.Jay,,,"BF, Jin"
30,Leave me Alone,Hard Core,NieN,NieN,NieN,,,"JAY, Z_B"
31,Renovation,Melodic Trance,XeoN,XeoN,,,,"wony, ENTIA J"
32,Mellow D Fantasy,K-Pop,NieN,NieN,Sanch,,,"KUDA, Z_B"
33,La Campanella : Nu Rave,Symphonic Rave,cranky,Franz List,,,cranky,Z_B
34,First Kiss,Dance Pop,BJJ,BJJ,황정미,,,"D, Latte"
35,Luv Yourself,Club Dance,NDLee,NDLee,소찬휘,,,"moolu, Woodstock"
36,In My Heart,House Pop,Tsukasa,Tsukasa,Misato,,,"BF, Latte"
37,Y,Acid House,NDLEE,NDLEE,Silver,,,"Sobong, Woodstock"
38,Angel,Euro Dance,Laurent Newfield & Ravenant,Laurent Newfield & Ravenant,Halya,,,"Jaguar Lee, AJ"
39,Alone,Heal,Nauts,Nauts,Ryu hye lim,,,"Tari, ENTIA J"
40,Watch Your Step,90's Dance,XeoN,XeoN,,Vocal Forge (on sample),,"MandRill, HooN"
41,Love is Beautiful,Flipper's Rock,Electronic Boutique,Electronic Boutique,Kastle,P'sycho-Remi(on Guitar),,"Sara, DumpingLIFE"
42,Black Swan,Electronic Waltz,TAK,Tchaikovsky,,Seibin (on guitar),TAK,"Naye, Taek"
43,Get On Top,P-funk,Planetboom,Planetboom,,,,"Bunnyhawk, Giggsan, Zzarygun, Liricomayu"
44,Trip,Dance Pop,NieN,NieN,안신애,,,NG
45,The MAX,Acid Dance,NDLee,NDLee,NDLee,E.M (on Rap),,"DumpingLIFE, ENTIA J"
46,Cosmic Fantastic Lovesong,Ani Pop,DINY,DINY,chohee,,,"Panneh, Latte"
47,Light House,Happy Core,xxdbxx,xxdbxx,,,,Eco
48,Just for Today,Modern Rock,J Minus,Dylan Fant,,,,"managa, NOVA"
49,I Want You,House Dance,Lin-G,Lin-G,Jay,,,"H2SO4, Latte"
50,Heart of Witch,Classical Trance,ReX,ReX,,,,"Tari, woodstock"
51,피아노 협주곡 1번,Classic Remix,WavFactory,Tchaikovsky,,,WavFactory,Eco
52,Love☆panic,Acoustic Pop,hiyong,hiyong,sugarhate,,,"D, Nyoung"
53,VORTEX,Full On,Electronic Boutique,Electronic Boutique,,,,Eco
54,Mukilteo Beach,Maimi DnB,CROOVE,CROOVE,Nina Park,,,"Sara, DumpingLIFE"
55,Retention,Ethnic Groove,XeoN,XeoN,,,,"38, ENTIA J"
56,Luv is True,Luv Pop,3rd Coast ,3rd Coast ,So Fly,JC(on Rap),,Z_B
57,DIVINE SERVICE,Ethnic Techno,Electronic Boutique,Electronic Boutique,,,,SR
58,Cherokee,Trance Fusion,xxdbxx,xxdbxx,,,,Eco
59,Take on Me,House Dance,Cuve,Cuve,Jannie,,,AJ
60,Everything,House Dance,3rd Coast ,3rd Coast ,So Fly,JC(on Rap),,Eco
61,SuperSonic (Mr.Funky Remix),Nu Disco,Mr.Funky,Planetboom,,Michael Blunck (on Rap),Mr.Funky,DumpingLIFE
62,Keys to the world,Planet Core,Planetboom,Planetboom,"Yohan(PIA),Planetboom",,,"GODO, CARROTJUICE"
63,아침형 인간,80s 8bit,NDLee,NDLee,Miya,,,"Young-in, ENTIA J"
64,Fate,Fusion Hip Hop,STi,STi,STi,,,"SINBARU, shin105"
65,Brand NEW Days,Pop Rock,Planetboom,Planetboom,Planetboom,,,"Lucy, DumpingLIFE"
66,Ruti'n,Urban Pop,BEXTER,BEXTER,So Fly,"JC(on Rap),Planetboom(on Guitar)",,"Shin Min Kyung, CARROTJUICE"
67,Festa Nova,Tropical Jazz,TerraMycin,TerraMycin,,,,DumpingLIFE
68,SuperSonic 2011,Rock Band,Pentavision Sound LAB,Planetboom,Michael Blunck,"Planetboom(on Guitar), AstroKid(on Guitar), Cuve(On Keyboard)",Pentavision Sound LAB,Pentavision Sound LAB
69,STOP,BigBand HOUSE,3rd Coast,3rd Coast,So Fly,JC(on Rap),,"ZAKTAN, 79C"
70,Desperado,Electronic Funk,CROOVE,CROOVE,,JC(on Rap),,"Cold Play, Latte"
71,별빛정원,Starlight Pop,vneld,vneld,Lee Jung Eun,,,"PUNEW, ENTIA J"
72,Thor,Melodic Trance,XeoN,XeoN,,,,"STATO, HooN"
73,Fermion,Psychedelic Trance,makou,makou,,,,"CRAZYRED, JIN"
74,Remember,K-POP,Lin-G,Lin-G,Miya,,,"BBANG, woodstock"
75,Here in the Moment,Latin House,Ruby Tuesday ,Ruby Tuesday ,LEAH,,,"KKUEM, HWAIN, JIN"
76,SON OF SUN,Gabber,Hosoe Shinji,Hosoe Shinji,,,,"Eco, HooN"
77,Hello Pinky,HiFi POP,NieN,NieN,,,,"Tari, AJ"
78,Someday,90's Pop,NieN,NieN,이지애,,,Chris
79,Your Own Miracle,Miracle Pop,Ruby Tuesday ,Ruby Tuesday ,Christine Jones,,,"DMP2 Opening Staff, Z_B"
80,The Guilty,Speed Funk,P'sycho-Remi,P'sycho-Remi,,,,"SINBARU, woodstock"
81,Rage Of Demon,Nu Metal,NieN,NieN,NieN,,,DumpingLIFE
82,Season (Warm Mix),Electronic Soul,makou,makou,,Vocal Forge (on sample),,Nova
83,바람에게 부탁해 Live Mix,Live Pop,Forte Escape,Forte Escape,Miya,,,"DMP1 Opening Staff, Z_B"
84,Dream of Winds,Melodic Trance,XeoN,XeoN,,,,KIM YS
85,Fallen Angel,Modern Rock,DJ Mocha,DJ Mocha,Yujin,,,"Tari, ENTIA J"
86,Hanz up!,Hip House,Mr.Funky,Mr.Funky,,,,"DumpingLIFE, Z_B"
87,You & Me,K-Pop,NieN,NieN,"정상희, 혜린",,,"KKUEM, Jin"
88,Airwave,Melodic Trance,ReX,ReX,,,,Z_B
89,Burn It Down,Industrial,P'sycho-Remi,P'sycho-Remi,P'sycho-Remi,,,79C
90,Never Say,Jungle Pop,NDLee,NDLee,Yoa,,,"38, DumpingLIFE"
91,Miles,Electro Fusion,Electronic Boutique,Electronic Boutique,,,,BF
92,Emblem,Irish Dance,makou,makou,,,,"Xloth, D"
93,Thor (Deep'in Absonant Mix),Melodic Trance,XeoN,XeoN,,,,"Eco, DumpingLIFE"
94,HEXAD,Electro House,Electronic Boutique,Electronic Boutique,,,,"KIM YS, Z_B"
95,Dual Strikers,Techno Trance,7 Sequence,7 Sequence,,,,"GiggSan, Z_B, D"
96,Puzzler,Toy Pop,Electronic Boutique,Electronic Boutique,,,,"Sara, ENTIA J"
97,SIN,Drum n Bass,ESTi,ESTi,,,,RESS
98,You should get over me,90's Rock,Jessica Wolff,"Jessica Wolff, Janne Rintala",,,,"Sobong, aj"
99,Kal_wrnw,Nu Skool Breaks,Lee Zu,Lee Zu,,,,DumpingLIFE
100,End of the Moonlight,Techno Pop,Forte Escape,Forte Escape,Miya,,,"EyeHead, US, PonGlow"
101,XEUS,Melodic Trance,XeoN,XeoN,,,,"UKYO, Hoon"
102,D2,Progressive,FIRST AID,FIRST AID,,,,Amitasia
103,Deborah,Komplextro,Paul Bazooka,Paul Bazooka,Lucy,,,"PUNEW, DANZI"
104,Liar,Techno Trance,zts,zts,,,,ECO
105,Sunny Side,Bright RnB,CROOVE,CROOVE,So Fly,JC(on Rap),,TIV
106,"고백, 꽃, 늑대 Part.2",Progressive,ReX,ReX,,,,D
107,Play The Future,Electro House,Urbatronic Chopsticks,Urbatronic Chopsticks,,,,"KIM YS, Z_B"
108,Landscape,Melodic Trance,Tsukasa,Tsukasa,,,,KIM YS
109,Dear My Lady,HI-NRG,Oriental ST8,Oriental ST8,,,,Cozy
110,Beyond The Future,Technical House,7 Sequence,7 Sequence,,,,"ECO, D"
111,Access,Techno Trance,Sphazer,Sphazer,,,,KIM YS
112,Coastal Tempo,Up Tempo,3rd Coast,3rd Coast,So Fly,JC(on Rap),,"ZAKTAN, 79C"
113,Enemy Storm,Hardcore,CROOVE,CROOVE,,,,Jay
114,SuperSonic,SpeedCore,Planetboom,Planetboom,PlanetBoom,Mike Blunck(on Rap),,"D, Z_B"
115,Cozy Quilt,Jazz House,bermei.inazawa,bermei.inazawa,,,,"Yein, 79C"
116,Jupiter Driving,Techno Stock,xxdbxx,xxdbxx,,,,EyeHead
117,Give Me 5,Soulful House,NDLee,NDLee,Baby Chou,,,"Sara, ENTIA J"
118,Dream Again,Ani Pop,DINY,DINY,Creha,,,"Young-in, ENTIA J"
119,Feel Ma Beat,Rap Metal,NieN,NieN,"NieN, Jae Hwan",,,"ZAKTAN, DumpingLIFE"
120,Memory of Beach,Dance Pop,M2U,M2U,,,,AP
121,The Clear Blue Sky,Artcore,Tsukasa,Tsukasa,,,,"Kkuem, Hoon"
122,Jealousy,Marble House,3rd coast,3rd coast,So Fly,JC(on Rap),,"willow, Waveun"
123,Whiteblue,Trance,zts,zts,,,,KIMYS
124,Honeymoon,Acid Pop,Humming Urban Stereo,Humming Urban Stereo,Yozo,,,"SARA, 79c"
125,Chemical Slave,Euro Dance,XeoN,XeoN,,,,Amitasia
126,Put'Em Up,Reggaeton-Like,makou,makou,,,,Dumping Life
127,Cypher Gate,Hi-Break Core,7 Sequence,7 Sequence,,,,KIMYS
128,Luv Flow (Funky House Mix),Funky House,Paul Bazooka,3rd Coast,So Fly,JC(on Rap),Paul Bazooka,Moses
129,XLASHER,Slash Core,Hosoe Shinji,Hosoe Shinji,Mr.Yoshida,,Hosoe Shinji,"Sara, Dumping Life"
130,Say It From Your Heart,Classic Handbag,makou,makou,,Yoshihiro Tsukahara (on Guitar),makou,"GrooveBear, Z_B"
131,Bamboo on Bamboo,Gabba,Sampling Masters MEGA,Sampling Masters MEGA,,,Sampling Masters MEGA,wony
132,Fallin' in Luv,Luv Pop,3rd Coast,3rd Coast,So Fly,JC (on Rap),3rd Coast,"Tari, jo jeong joo"
133,Colours of Sorrow,Colours POP,Tsukasa,Tsukasa,Esprit Lee,,Tsukasa,"Shin Min Kyung, CARROTJUICE"
134,Area 7,Trance,Sphazer,Sphazer,,,Sphazer,KIMYS
135,Out of CTRL,Drum & Bass,Mr.Funky,Mr.Funky,Yohan,,Mr.Funky,"Zaktan, Out"
136,RockSTAR,Electro House,Mr.Funky,Mr.Funky,Mr.Funky,Michael Blunck(on Rap),Mr.Funky,aj
137,Dark Prism,Melodic Trance,Tsukasa,Tsukasa,,,Tsukasa,"SAGWANAMU, Ruki"
138,Right Back,UK Hardcore,TANUKI,TANUKI,,Royalty Free Samples ,TANUKI,Amitasia
139,Grave Consequence,DNB Trance,Tsukasa,Tsukasa,,,Tsukasa,"Khang-Keun, Latte"
140,Beat U Down,Euro Beat,makou,makou,,,makou,"KIMYS, Z_B"
141,BEE-U-TIFUL,Drum'n Bass,FIRST AID,FIRST AID,,,FIRST AID,D
142,Sweet Dream,House Dance,Lin-G,Lin-G,Jay,,Lin-G & Mr. love&pop,"BF, Jin"
143,Showdown,Brass Funk,LeeZu,LeeZu,,,LeeZu,"Gaeberman, DumpingLIFE"
144,AD2222,Junkno,CROOVE,CROOVE,,,CROOVE,KIMYS
145,Over the Rainbow,Ani Pop,Tsukasa,Tsukasa,Aki Misawa,,Tsukasa,"Mino, Jin"
146,Fly Away,Trance,XeoN,XeoN,,,XeoN,SB_ENGINEER
147,Wanna Be Your Lover,Euro Dance,Laurent Newfield & Ravenant,Ravenant,Alex Ray,,Laurent Newfield & Ravenant,"Zaquard, Shin105"
148,SuperNova,Rave,Cranky,Cranky,,,Cranky,"Ottol, ENTIA J"
149,The Rain Maker,Epic Trance,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,moses
150,IF,Rock,Vanilla Unity,Vanilla Unity,이승주,,Vanilla Unity,"Jisun, moses"
151,Melody,Cute POP,bermei.inazawa/UC,bermei.inazawa/UC,Esprit Lee,,bermei.inazawa/UC,"BF, Jin"
152,The Last Dance,India Hip-Hop,Urbatronic Chopsticks,Urbatronic Chopsticks,Esprit Lee,JJK (on Rap),Urbatronic Chopsticks,"SARA, HooN"
153,Secret World,Teenpop,Sweetune,Sweetune,Miya,,Sweetune,"Mirk, Jin"
154,Lovely Hands,Space Pop,Planetboom,Planetboom,Miya,,Planetboom,"SARA, Jin"
155,Ready Now,Euro Dance,Ruby Tuesday,Ruby Tuesday,LEAH,,Ruby Tuesday,"Kopye,79c"
156,Voyage,Broken Beat,makou,makou,Lin,,makou,"SAGWANAMU, CARROTJUICE"
157,Shoreline,Balearic House,Oriental ST8,Oriental ST8,,,Oriental ST8,"REWHY, Waveun"
158,In My Dream,Mental Metal,NDLee,NDLee,,,NDLee,"Weltol, Latte"
159,glory day,J-Rock,BEXTER x Mycin.T,BEXTER x Mycin.T,DyoN Joo,,Mycin.T,"SHIHYUN, DumpingLIFE, BJLee"
160,glory day (Japanese Version),J-Rock,BEXTER x Mycin.T,BEXTER x Mycin.T,DyoN Joo,,Mycin.T,"SHIHYUN, DumpingLIFE, BJLee"
161,Over Your Dream,Pop Rock,xxdbxx,xxdbxx,Sin So Hee,,xxdbxx,MUCA with Fans
162,Mind Control,Modern hard Rock,NieN,NieN,NieN & Yayoo(Band 'Guyz'),,NieN,BraveNine
163,The One,Happy 2step,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,Dookong
164,Break!,Synth Pop Rock,Mr.Funky,Mr.Funky,Garden(RubyStar),,Mr.Funky,"JUNA,ENTIA J"
165,A.I,Techno,Forte Escape,Forte Escape,,,Forte Escape,KIMYS
166,Nova (Mr.Funky Remix),Nu Skool Breakz,Mr.Funky,BEXTER,Michael Blunck,Planetboom(on Guitar),Mr.Funky,"SAREE, D"
167,Zet (Mr.Funky Remix) ,Indie Dance,Mr.Funky,BEXTER,Bloom,Planetboom(on Guitar),Mr.Funky,KIMYS
168,Masai (Electro House Mix),Electro House,Paul Bazooka,CROOVE,So Fly,JC(on Rap),Paul Bazooka,Eco
169,Enemy Storm (Dark Jungle Mix),Dark Jungle,Paul Bazooka,CROOVE,,JC(on Rap),Paul Bazooka,"NOVA, Super52"
170,NB Ranger - Virgin Force,Hard Rock,NieN,NieN,Ace(of Paran),,NieN,DumpingLIFE
171,NB POWER,AniRock,NieN,NieN,NieN,,NieN,Eco
172,Hamsin,Trance,makou,makou,,,makou,Ache
173,OBLIVION (Rockin' Night Style),Rock,NieN,ESTi,,,NieN,"D-myo, NG, TARI, ECO, ENTIA J"
174,레모네이드,Lounge DnB,M2U,M2U,Tari,,M2U,"TARI, ETER"
175,Silent Clarity,Art CORE,Tsukasa,Tsukasa,Aki Misawa,,Tsukasa,"Dumping Life, ENTIA J"
176,NANO RISK,NANO DnB,Dayz,Dayz,Tornado,,Dayz,"KIMYS, ECO"
177,Rolling On the Duck,Core & Metal,NieN,NieN,NieN,,NieN,JAY
178,Don't Die,Drum'n Bass,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,"S.in, RK"
179,Remains Of Doom,Industrial Rock,NieN,NieN,NieN,,NieN,Gunzo
180,CLOSER,Pure House,3rd Coast,3rd Coast,So Fly,JC(on Rap),3rd Coast,Giggsan
181,A Life With You,Broken Beat,makou,makou,Fumi,,makou,"Mandrill, Hoon"
182,Nevermind,Epic Trance,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,Gunzo
183,Binary World,Melodic Trance,Tsukasa,Tsukasa,Aki misawa,,Tsukasa,"Racoona, DumpingLIFE"
184,JBG,Yellow Hiphop,CROOVE,CROOVE,,JC(on Rap),CROOVE,Eyehead
185,GET OUT,RnB Hip Hop,NDLee,NDLee,Gypsi Road & Jimmy Len,,NDLee,Gunzo
186,Can We Talk,Acid jazz,Forte Escape,Forte Escape,Pyk,,Forte Escape,Aqualix
187,Never Ending TECHNIKA,Electro Funk,Studio LAY-BACK,Studio LAY-BACK,Studio LAY-BACK,,Studio LAY-BACK,SB_ENGINEER
188,Child of Night,Electro House,GOTH,GOTH,,,GOTH,Gunzo
189,KILLER BEE,Trap Hop,GOTH,GOTH,,Muchi(on Rap),GOTH,"zaktan, JOJ"
190,Shadow Flower,Pop,ned,ned,Moa,,ned,"Tari, ENTIA J"
191,U.A.D,Future House,HAYAKO,HAYAKO,,,HAYAKO,AJ